item,   email,                 telephone,              address,                         price,quantity,date
camera,brittany61@yahoo.com,533-857-0311x128,"20818 Hayden Harbors Deniseside, DE 76461",1347,5,2014-05-03T16:34:04Z
laptop,dgonzales@savage.com,234-656-2687x97838,"200 Teresa Mission Apt. 410
New Jesse, SC 28333",531,3,2014-11-19T07:55:45Z
camera,wallacejennifer@gmail.com,+1-013-269-5910,"80738 Macdonald Forge
New Johnny, VT 04720",1004,4,2014-12-11T08:59:49Z
camera,wmiller@frederick-graham.com,9371309935,"02235 Mcpherson Meadow Suite 721
West Cody, VA 92110",1289,2,2014-10-25T00:36:09Z
telephone,patrickmorris@gmail.com,+1-262-182-4446,"368 Joseph Pike Apt. 304
New Erika, GA 92816",1111,4,2014-04-02T09:49:57Z
laptop,hobbsheather@hotmail.com,382.730.4614,"9989 Ballard Groves Suite 401
North Edwardside, AR 43161",679,5,2014-01-16T04:09:11Z
smartwatch,donaldward@palmer-anderson.org,392.059.8405,"3055 Heidi Crossroad Suite 345
Kurtland, CT 76121",698,4,2014-05-16T12:11:17Z
smartwatch,william94@jennings.com,979-314-9544,"0340 Zachary Run
South Jeromeville, ND 86166",1208,2,2014-09-28T04:11:55Z
telephone,omontgomery@bennett.com,001-780-765-7319x79511,"976 Robert Plain Suite 856
Lake Adamchester, HI 80726",993,2,2014-02-05T18:27:30Z
camera,edwinprice@hotmail.com,001-970-798-1850x53042,"87461 Julie Ramp Suite 994
East Katrinatown, SC 86931",590,5,2014-04-10T08:21:07Z
camera,vanessa78@graves.com,643.517.9915x3916,"320 Alex Flat Suite 100
Port Daniel, IL 73184",900,4,2014-06-25T11:32:19Z
telephone,clarkmelissa@yahoo.com,580.450.9956x60206,"2445 Daisy Court
Lake Gilbertland, IL 65963",1466,5,2014-10-14T09:50:00Z
telephone,edrake@hotmail.com,(349)668-3304x71560,"5790 Wright Camp Apt. 409
Jeffreyton, SC 36739",1368,5,2014-12-16T07:25:14Z
camera,jacksonkathy@schmidt.net,+1-003-221-8355x28113,"812 Gomez Stravenue Suite 203
Port Davidland, CT 41548",872,2,2014-05-26T22:22:11Z
